"uid","year.uid","year","yr_surv","col_area","rs","nboffspring","sum_surv","yrlg_disp","death_type","massjun","massaug","nb_mass","age","age_class","sex","year_recruit","yrs_aft_recruit"
"16_20","1962.16_20",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"17_19","1962.17_19",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"1_21","1962.1_21",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"26_36","1962.26_36",1962,0,"picnic",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","F",1961,1
"27_28","1962.27_28",1962,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"29_31a","1962.29_31a",1962,0,"bench",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"2_4","1962.2_4",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"32_44","1962.32_44",1962,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"33_34a","1962.33_34a",1962,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"37_35","1962.37_35",1962,0,"picnic",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","F",1961,1
"38_39","1962.38_39",1962,0,"bench",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"3_10","1962.3_10",1962,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"40_41","1962.40_41",1962,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"42_50","1962.42_50",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"43_46","1962.43_46",1962,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"48_49","1962.48_49",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"52_54","1962.52_54",1962,1,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"5_22","1962.5_22",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"60_61","1962.60_61",1962,1,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"6_12","1962.6_12",1962,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"76_79","1962.76_79",1962,1,"picnic_upper",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"77_78a","1962.77_78a",1962,0,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"7_13","1962.7_13",1962,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"82_80","1962.82_80",1962,1,"picnic_upper",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"84_96","1962.84_96",1962,0,"picnic_upper",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"85_86a","1962.85_86a",1962,0,"picnic_upper",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"87_88","1962.87_88",1962,0,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"89_90a","1962.89_90a",1962,1,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"94_95","1962.94_95",1962,1,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"97_98","1962.97_98",1962,1,"picnic_lower",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"99_100","1962.99_100",1962,0,"bench",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1962,0
"9_8","1962.9_8",1962,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1962,0
"103_102","1963.103_102",1963,0,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","M",1962,1
"106_101","1963.106_101",1963,0,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","M",1962,1
"116_109","1963.116_109",1963,0,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","F",1962,1
"120_115","1963.120_115",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"124_121","1963.124_121",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"130_135a","1963.130_135a",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"131_137","1963.131_137",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"132_138","1963.132_138",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"136_145","1963.136_145",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"140_141","1963.140_141",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"142_144","1963.142_144",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"143_0","1963.143_0",1963,0,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"150_115","1963.150_115",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"152_173","1963.152_173",1963,1,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"153_122","1963.153_122",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"155_157","1963.155_157",1963,1,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"156_169","1963.156_169",1963,1,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"161_162a","1963.161_162a",1963,0,"bench",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"163_167a","1963.163_167a",1963,1,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"165_166a","1963.165_166a",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"168_0","1963.168_0",1963,0,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"16_20","1963.16_20",1963,0,"river",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","M",1962,1
"171_172","1963.171_172",1963,0,"bench",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"175_170","1963.175_170",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"176_0","1963.176_0",1963,0,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"177_180","1963.177_180",1963,0,"boulder",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"178_615","1963.178_615",1963,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"179_0","1963.179_0",1963,0,"boulder",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"17_19","1963.17_19",1963,1,"river",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","F",1962,1
"181_58","1963.181_58",1963,1,"gothictalus",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"183_202","1963.183_202",1963,1,"boulder",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"184_186","1963.184_186",1963,0,"boulder",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"185_199","1963.185_199",1963,0,"boulder",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
"187_645","1963.187_645",1963,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"188_607","1963.188_607",1963,1,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","M",1963,0
"189_190a","1963.189_190a",1963,0,"mm",NA,NA,NA,NA,NA,NA,NA,NA,0,"J","F",1963,0
